,run,FolderName,Env,SampleID,Bat,Cow,Human,Unknown,Bat_std,Cow_std,Human_std,Unknown_std
1,2,Bat_1Sources_DrawNo5_r2,Bat_1Sources_DrawNo5,Bat-poo-5,0.0483499999999999,5e-05,0.0,0.9515999999999998,0.0047436800060712,0.00015,0.0,0.0047265209192385
2,2,Bat_1Sources_DrawNo5_r2,Bat_1Sources_DrawNo5,Bat-poo-4,0.0008499999999999,0.0001,5e-05,0.999,0.0006344288770224,0.0002,0.00015,0.0005916079783099
3,2,Bat_1Sources_DrawNo5_r2,Bat_1Sources_DrawNo5,Bat-poo-3,0.00235,5e-05,0.0,0.9976,0.0011412712210513,0.00015,0.0,0.0011789826122551
0,3,Bat_1Sources_DrawNo5_r3,Bat_1Sources_DrawNo5,Bat-poo-6,0.00465,0.0001,0.0,0.99525,0.001096585609973,0.0002,0.0,0.0011672617529928
1,3,Bat_1Sources_DrawNo5_r3,Bat_1Sources_DrawNo5,Bat-poo-5,0.0472999999999999,5e-05,0.0,0.95265,0.0033704599092705,0.00015,0.0,0.0033619190948028
2,3,Bat_1Sources_DrawNo5_r3,Bat_1Sources_DrawNo5,Bat-poo-4,0.00135,5e-05,0.0,0.9986,0.0009233092656309,0.00015,0.0,0.0008888194417315
3,3,Bat_1Sources_DrawNo5_r3,Bat_1Sources_DrawNo5,Bat-poo-3,0.00205,0.0,0.0,0.99795,0.0010356157588603,0.0,0.0,0.0010356157588603
0,4,Bat_1Sources_DrawNo5_r4,Bat_1Sources_DrawNo5,Bat-poo-6,0.00345,0.0,0.0,0.9965499999999998,0.0021266170318136,0.0,0.0,0.0021266170318136
1,4,Bat_1Sources_DrawNo5_r4,Bat_1Sources_DrawNo5,Bat-poo-5,0.0481,0.00015,0.0,0.95175,0.0056471231613982,0.0002291287847477,0.0,0.0057889981862149
2,4,Bat_1Sources_DrawNo5_r4,Bat_1Sources_DrawNo5,Bat-poo-4,0.0015,5e-05,0.0,0.9984499999999998,0.0012649110640673,0.00015,0.0,0.0012539936203984
